iter	Passed	Remaining
759	19467	6147
760	19494	6122
761	19528	6099
762	19554	6074
763	19581	6048
764	19608	6023
765	19635	5998
766	19661	5972
767	19686	5947
768	19712	5921
769	19743	5897
770	19771	5872
771	19799	5847
772	19825	5822
773	19854	5797
774	19882	5772
775	19906	5746
776	19927	5719
777	19949	5692
778	19975	5666
779	20002	5641
780	20027	5615
781	20054	5590
782	20083	5565
783	20109	5540
784	20139	5515
785	20166	5490
786	20191	5464
787	20218	5439
788	20242	5413
789	20266	5387
790	20290	5361
791	20314	5335
792	20340	5309
793	20366	5283
794	20390	5257
795	20422	5233
796	20451	5209
797	20477	5183
798	20505	5158
799	20528	5132
800	20557	5107
801	20584	5081
802	20608	5055
803	20636	5030
804	20664	5005
805	20694	4981
806	20722	4955
807	20751	4931
808	20781	4906
809	20811	4881
810	20840	4856
811	20865	4830
812	20893	4805
813	20922	4780
814	20954	4756
815	20981	4731
816	21010	4706
817	21039	4681
818	21067	4656
819	21100	4631
820	21127	4606
821	21156	4581
822	21185	4556
823	21216	4531
824	21246	4506
825	21274	4481
826	21332	4462
827	21386	4442
828	21423	4419
829	21451	4393
830	21477	4367
831	21508	4343
832	21539	4318
833	21567	4292
834	21593	4266
835	21617	4240
836	21649	4216
837	21675	4190
838	21704	4165
839	21732	4139
840	21766	4115
841	21796	4089
842	21822	4064
843	21849	4038
844	21876	4012
845	21906	3987
846	21930	3961
847	21954	3935
848	21984	3910
849	22018	3885
850	22055	3861
851	22086	3836
852	22112	3810
853	22138	3784
854	22162	3758
855	22186	3732
856	22213	3706
857	22241	3680
858	22268	3655
859	22301	3630
860	22332	3605
861	22358	3579
862	22383	3553
863	22411	3527
864	22436	3501
865	22463	3475
866	22494	3450
867	22526	3425
868	22551	3399
869	22578	3373
870	22601	3347
871	22628	3321
872	22651	3295
873	22674	3268
874	22699	3242
875	22726	3216
876	22750	3190
877	22778	3165
878	22807	3139
879	22836	3114
880	22861	3087
881	22887	3062
882	22916	3036
883	22944	3010
884	22969	2984
885	22995	2958
886	23022	2932
887	23049	2907
888	23078	2881
889	23106	2855
